title,country,poster,release_year,genre,director,starring
The Murderous White-boned Blade,Hong Kong,https://en.hkcinema.ru/foto/nofoto.gif,1963,martial arts,Wong Fung ,"Walter Tso Tat-Wah, Yu So-Chau, Josephine Siao Fong-Fong, Lam Kau, Sek Kin "
"Killing Flag, The (Part 1)",Hong Kong,https://en.hkcinema.ru/foto/nofoto.gif,1963,martial arts,Fung Chi-Kong ,"Tang Pik-Wan, Lam Ka-Sing, Cecelia Lee Fung-Sing, Josephine Siao Fong-Fong, Mui Lan, Sek Kin, Yeung Yip-Wang, Cheung Chok-Chow "
"Killing Flag, The (Part 2)",Hong Kong,https://en.hkcinema.ru/foto/nofoto.gif,1963,martial arts,Fung Chi-Kong ,"Tang Pik-Wan, Lam Ka-Sing, Cecelia Lee Fung-Sing, Josephine Siao Fong-Fong, Mui Lan, Sek Kin, Yeung Yip-Wang, Cheung Chok-Chow "
Kill without Compensation,Hong Kong,https://en.hkcinema.ru/foto/nofoto.gif,1970,martial arts,Wong Fung ,"Shirley Wong Sa-Lee, Jeng Gam-Cheong, Ko Lo-Chuen, Do Ping, Aai Dung-Gwa, Ding Yue, Chan Leung-Chung, Yue Ming, Chow Gat "
Killing of the Villains,Hong Kong,https://en.hkcinema.ru/foto/nofoto.gif,1961,martial arts,Wu Pang ,"Kwan Tak-Hing, Yu So-Chau, Lam Kau, Lee Heung-Kam, Sek Kin, Ng Yan-Chi, Chow Luen, Heung Hoi, Cheung Chok-Chow, Wong Hak "
The Murder of Murders,Taiwan,https://en.hkcinema.ru/foto/0d0f7b95.jpg,1978,martial arts,Wu Ma ,"Chi Kuan-Chun, Lo Lieh, Kam Kong, Yee Yuen, Phillip Ko Fei, Shih Ting-Ken, Miao Tian, Pauline Wan Bo-Lin, Ting Wa-Chung, Wu Chia-Hsiang "
The Assassin,Hong Kong,https://en.hkcinema.ru/foto/5bc8945c.jpg,1967,martial arts,Chang Cheh ,"Jimmy Wang Yu, Lisa Chiao Chiao, Tien Feng, Cheng Lui, Cliff Lok, Fang Mian, Huang Chung-Hsin, Wang Kuang-Yu, Wan Ling-Kwong, Wong Ching-Ho "
The Assasinator,Hong Kong,https://en.hkcinema.ru/foto/b5f83c42.jpg,1968,martial arts,Law Chi ,"Suet Nei, Cheung Ying-Tsoi, Sek Kin, Paul Chu Kong, Yip Ching, Mak Gei, Sze-Ma Wah-Lung, Chow Gat, Ng Yan-Chi, Wong Ying-Wai "
The Killer,Hong Kong,https://en.hkcinema.ru/foto/f2808b3c.jpg,1972,martial arts,Chor Yuen ,"Chin Han, Chung Wah, Wang Ping, Chiang Nan, Ching Miao, Yang Chi-Ching, Ku Feng, Cheng Kang-Yeh, Wang Kuang-Yu, Cheng Lui "
The Assassin,Hong Kong,https://en.hkcinema.ru/foto/eb7e036c.jpg,1993,martial arts,Billy Chung Siu-Hung ,"Zhang Feng-Yi, Rosamund Kwan Chi-Lam, Max Mok Siu-Chung, Zhao Jun, Zhang Guang-Bei, Ni Da-Hong, Song Ge, Diao Xiao-Xiao "
Assassin,Taiwan,https://en.hkcinema.ru/foto/2a5c1513.jpg,1976,martial arts,Larry Tu Chong-Hsun ,"Hsu Feng, Tien Peng, Pai Ying, Chia Ling, Shih Chun, Tse Chung-Mau, Wan Chung-Shan, Tai Leung, Li Min-Lang, Chang Ping-Yu, Ching Lap-Wai "
The Assassin,Taiwan,https://en.hkcinema.ru/foto/556339dcd6c72.jpg,2015,martial arts,Hou Hsiao-Hsien ,"Shu Qi, Chang Chen, Zhou Yun, Tsumabuki Satoshi, Nikki Hsieh Hsin-Ying, Komuro Tetsuya, Yong Mei, Lei Zhen-Yu, Xu Fan, Sheu Fang-Yi "
Assassin's,China,https://en.hkcinema.ru/foto/59e5d957d172a.jpg,2017,"historical, drama, martial arts",Ceng Xiao-Yu ,"Tong Rui-Min, Cola Li Rui-Chao, Kate Wu Qing, Zhang Sen, Qiao Jia-Xu, Xu Ming-Yang, Crystal Sun Wan-Ting, Xu Feng-Mei, Zou Shi-Zhong "
White Butterfly Killer,Taiwan,https://en.hkcinema.ru/foto/4ce0c5fe.jpg,1973,martial arts,Hou Cheng ,"Hsu Feng, Ang Fung, Yu Chung-Chiu, Lee Keung, Shan Mao, Chan Wai-Lau, Tsai Hung, Ko Hsiang-Ting, Meng Ling-Ming, Wong Yu, Shut Chung-Tin "
The Buddha Assassinator,Hong Kong,https://en.hkcinema.ru/foto/58b8f50d.jpg,1980,martial arts,Dung Gam-Woo ,"Mang Hoi, Hwang Jang-Lee, Chin Yuet-Sang, Lung Fei, Yu Chung-Chiu, Woo Hon-Cheung, Clement Yip Chiu-Yuk, Kon Tak-Mun, Corey Yuen Kwai "
The Killer in White,Hong Kong,https://en.hkcinema.ru/foto/f2f9c9f5.jpg,1980,martial arts,Joe Cheung Tung-Cho ,"Yen Shi-Kwan, Roy Chiao Hung, Stephen Tung Wai, Fung Ging-Man, Rosalind Chan Yee-Hing, Peter Chan Lung, Ho Pak-Kwong, Pan Yung-Sheng "
A Killer in White Clothing,Taiwan,https://en.hkcinema.ru/foto/nofoto.gif,1971,martial arts,,"O Chun-Hung, Wong Ho, Chen Hui-Mei, Chou Chung-Lien, Ng Ho, Si Sin-Dai, Shih Yin-Yin, Wong Cheung, Ho Kang, Yue Fan, Lam Aan "
The Dragon Killer,Taiwan,https://en.hkcinema.ru/foto/nofoto.gif,1975,martial arts,Tai Peng-Ling ,"Li Lung-Hua, Hsieh Han, Addy Sung Gam-Loi, Wang Shui, Ko Fei, Leung Fung-Yee, Hong Chong, Gam Ban, Lin Chia-Liang "
"Killer of Snake, Fox of Shaolin",Taiwan,https://en.hkcinema.ru/foto/0f0691e6.jpg,1978,martial arts,Fan Dan ,"Carter Wong Ka-Tat, Nick Cheung Lik, Lau Nga-Ying, Lau Yat-Fan, Chang Pei-Shan, Cheung Hei, Lam Moon-Wa, Gwak Mu-Seong, Mok Wan-Ha "
Assassin on the String,China,https://en.hkcinema.ru/foto/5debd32959e8a.jpg,2019,"martial arts, historical, drama",Ou Tan-Kai ,"Shi Yun-Peng, Ma Qian-Qian, Ji Mu-Chuan, Zhu Li-An, Miao Fu, Chu Tit-Wo, Zhu Hui, Bodi, Zhao Jing-Xia, Lu Huan, Jia Shu-Yi, Huang Wen-Hao "
The Eagle's Killer,Hong Kong,https://en.hkcinema.ru/foto/38f415b5.jpg,1981,martial arts,William Cheung Kei ,"John Cheung Ng-Long, Hwang Jang-Lee, Fan Mei-Sheng, Chiang Kam, Cheng Kang-Yeh, Kao Yuen, Lee Shou-Chi, Chang Ching, Chin Pei-Ling "
Hitman in the Hand of Buddha,Hong Kong,https://en.hkcinema.ru/foto/42c9bd2f.jpg,1981,martial arts,Hwang Jang-Lee ,"Hwang Jang-Lee, Tino Wong Cheung, Fan Mei-Sheng, Eddy Ko Hung, Corey Yuen Kwai, Mang Hoi, To Siu-Ming, Yeung Wai, Gwok Yin-Yin "
Killer from Above,Taiwan,https://en.hkcinema.ru/foto/6074fa9a.jpg,1977,martial arts,Law Chi ,"Lo Lieh, Carter Wong Ka-Tat, Lung Fei, Chang Yu, Wang Ping, Cliff Lok, Chan Chuen, Chan Siu-Pang, Cheung Shu-Lam, Au Lap-Bo, Weng Hsiao-Hu "
Tiger Killer,Hong Kong,https://en.hkcinema.ru/foto/9fe6e7d2.jpg,1982,martial arts,Li Han-Hsiang ,"Ti Lung, Wang Ping, Ku Feng, Lau Wing, Wang Lai, Chan Bo-Cheung, Tai Kwan-Tak, Chan Shen, Ching Miao, Chiang Nan, Liu Lai-Ling "
Romantic Assassin,China,https://en.hkcinema.ru/foto/593ac029362c7.jpg,2017,"comedy, action, martial arts",Stephen Jiao Yang ,"Tiger Chen Hu, Zhu Jia-Xi, Wang Xiao-Yi, Du Feng Xin-Yi, Chang Le, Hua Shao-Yi, Xu Li-Wei, Lin Xian-Chu, Zhao Kai, Shi Chuan-Hua "
To Kill the Big Villain in Mt. Tai,Hong Kong,https://en.hkcinema.ru/foto/c722c4d7.jpg,1980,martial arts,"Kong Hon, Hui Sin ","Chow Chung, Kong Hon, Newton Lai Hon-Chi, Hsia Bing-Hsin, Zhu Hong, Jiang Ming, Cheung Ping, Leung Hang, Leung Gam-San "
Kill the Ninja,South Korea,https://en.hkcinema.ru/foto/7d8925f0.jpg,1975,martial arts,Park Woo-Sang ,"Bobby Kim, Hwang Jang-Lee, Kwan Yung-Moon, Kim Ok-Jin, Chiu Chun "
To Kill a Rover,Hong Kong,https://en.hkcinema.ru/foto/317b7fd0.jpg,1968,martial arts,Wong Ping ,"Annette Chang Hui-Hsien, Paul Chang Chung, Steve Chan Ho, Kong San, Chu Mu, Liu En-Jia, Su Chiang, Leung Yui, Fung Ngai, Wong Ping "
To Kill with Intrigue,Hong Kong,https://en.hkcinema.ru/foto/eeac1e6e.jpg,1977,martial arts,Lo Wei ,"Jackie Chan, Hsu Feng, Yu Ling-Lung, George Wang Jue, Ma Kei, San Yat-Lung, Tung Lam, Chan Wai-Lau, Wong Kwok-Fai, Wong Chi-Sang "
Kill the Shogun,South Korea,https://en.hkcinema.ru/foto/36eab96e.jpg,1975,"action, martial arts",Lee Doo-Yong ,"Gang Dae-Hui, Choi Chong-Min, James Nam Gung-Fan, Bae Su-Cheon, Chiu Chun, Hwang Jang-Lee, Hyeon Kil-Su, Kim Wang-Kuk, Bruce Cheung Mong "
To Kill a Jaguar,Hong Kong,https://en.hkcinema.ru/foto/187ccb01.jpg,1977,martial arts,Hua Shan ,"Chung Wah, Lau Wing, Nora Miao Ke-Hsiu, Ling Yun, Wai Wang, Fan Mei-Sheng, Chan Shen, Hao Li-Jen, Siu Yam-Yam, Johnny Wang Lung-Wei "
The White Lotus Menace,Hong Kong,https://en.hkcinema.ru/foto/nofoto.gif,1939,martial arts,Wong Fook-Hing ,"Kwong Shan-Siu, Leong Suet-Fei, Yung Yuk-Yi, Wong Ha-Fei, Lau Hak-Suen, Wong Sau-Nin, Lee Siu-Man, Ling Mung, Chan Kim-Fai "
Wu Dang,Hong Kong,https://en.hkcinema.ru/foto/b7f9ca69.jpg,2012,"martial arts, adventure, comedy",Patrick Leung Pak-Kin ,"Vincent Zhao Wen-Zhuo, Fan Siu-Wong, Xu Jiao, Yang Mi, Henry Fong Ping, Dennis To Yue-Hong, Nina Pau Hei-Ching, Shaun Tam Chun-Yin "
Wu Tang,Hong Kong,https://en.hkcinema.ru/foto/nofoto.gif,1984,martial arts,,
Wu Dang 2,China,https://en.hkcinema.ru/foto/572bac326db42.jpg,2006,"historical, martial arts",Tommy Fan Sau-Ming ,"Jacky Wu Jing, Monica Chan Fat-Yung, Ma Su, Hou Yu, Vincent Chiu Yan-Jun, Norman Chu Siu-Keung, Ho Kam-Ling, Xiao Shi-Ke, Zhang Su-Guo "
The 13 Styles Strike,Taiwan,https://en.hkcinema.ru/foto/56201fa1748e0.jpg,1979,martial arts,Cheung Ying ,"Chan Sing, Yeh Hai-Fang, Wu San-Chu, Mark Lung Koon-Mo, Ma Fat-Yan, Ma Chin-Ku, Yu Heng, Lee Chi-Wa, David Lau Dai-Wai, Lau Dai-Wai "
Thunderbolt,Hong Kong,https://en.hkcinema.ru/foto/6443d475.jpg,1973,martial arts,Law Chi ,"Angela Mao Ying, James Tin Chuen, Pai Ying, Lam Kau, Lee Kwan, Lily Chen Ching, Cliff Lok, Jason Pai Piao, Yeung Wai, Cheung Hei "
The Thunder Kick,Hong Kong,https://en.hkcinema.ru/foto/c693ffb6.jpg,1974,martial arts,Teddy Yip Wing-Cho ,"Larry Lee Gam-Kwan, Someno Yukio, Huang Pei-Chih, Lau Tai-Chuen, Chen Yan-Yan, James Nam Gung-Fan, Bolo Yeung Sze, Suen Lam, Teddy Yip Wing-Cho "
Demon Strike,Hong Kong,https://en.hkcinema.ru/foto/5624fa4396ba4.jpg,1979,martial arts,Mun Yiu-Wa ,"Hwang Jang-Lee, Leung Kar-Yan, Hsieh Han, Jason Pai Piao, Chu Ko, Alan Chui Chung-San, Lam Yi-Wa, Sherman Chow Shiu-Dung, Chang Fu-Chien "
Dragon Strikes,Hong Kong,https://en.hkcinema.ru/foto/sp_541eb8a9c6df9.jpg,1977,martial arts,"Leung Kwok-Keung, Terry Tong Gei-Ming, Ng Kiu-Yi, Cheung Ho ","Jason Pai Piao, Candice Yu On-On, Alex Man Chi-Leung, Ku Kuan-Chung, Bruce Leung Siu-Lung, Nancy Sit Ka-Yin, Law Lok-Lam, Candy Wen Xue-Er "
The Comet Strikes,Hong Kong,https://en.hkcinema.ru/foto/e0af7a16.jpg,1971,"martial arts, ghost",Lo Wei ,"Nora Miao Ke-Hsiu, Patrick Tse Yin, Lo Wei, Stanley Fung Sui-Fan, Lau Wing, Lee Kwan, Sek Kin, Fung Ngai, Hung Lau, Chiang Nan "
Kickboxer,Hong Kong,https://en.hkcinema.ru/foto/313d8db0.jpg,1993,martial arts,Wu Ma ,"Yuen Biao, Yen Shi-Kwan, Shirley Lui Sau-Ling, Yuen Wah, Wu Ma, Tai Bo, Zhang Dong-Sheng, Sheila Chan Suk-Lan, Chen Shan, Louis Roth "
When Taekwondo Strikes,Hong Kong,https://en.hkcinema.ru/foto/e3c98936.jpg,1973,martial arts,Wong Fung ,"Angela Mao Ying, Jhoon Rhee, Carter Wong Ka-Tat, Sammo Hung Kam-Bo, Whang In-Shik, Chin Yuet-Sang, Kim Ki-Ju, Kazuma Kenji, Chan Chuen "
A Blow of Fury,South Korea,https://en.hkcinema.ru/foto/b7d06ba4.jpg,1977,martial arts,Park Woo-Sang ,"Bobby Kim, Kim Ji-Hye, Kwan Yung-Moon, Kim Ki-Ju, Cho Sung-go, Song Il-Keun, Han Myeong-Hwan, Kwon Il-Soo, Park Hui-Jin, Huh Suk-Do, Choe Jae-Ho "
Dragon Blows,Taiwan,https://en.hkcinema.ru/foto/08b807d7.jpg,1973,martial arts,Wong Tin-Lam ,"Lisa Chiao Chiao, Charlie Chin Chiang-Lin, Woo Gam, Liu Ping, Huang Chung-Hsin, Chen Chiu, Chen Shen-Lin, Lee Wai-Wan, Wei Su, Chiu Ting "
Terrors Over Nothing,Hong Kong,https://en.hkcinema.ru/foto/nofoto.gif,1967,martial arts,Chiang Wai-Kwong ,"Ng Kwun-Lai, Wu Fung, Tam Bing-Man, Lee Heung-Kam, Cheng Kwun-Min, Alice Au Yin-Ching, Pak Man-Biu, Ko Lo-Chuen, Yim Chau-Wah "
The Terrible Killer,Taiwan,https://en.hkcinema.ru/foto/3a616611.jpg,1968,martial arts,Wong Cheuk-Hon ,"Ting Ying, Pai Yu, Tinny Ng Sau-Fong, Ma Kei, Yee Yuen, Kang Ming, Cheung Siu-Ling "
Jian Qiu,China,https://en.hkcinema.ru/foto/nofoto.gif,2013,martial arts,Wu Sheng-Ji ,"Chen Tien-Xing, Liu Wei, Leo Li Bing-Chen, Jiao Xiao-Yu, Di Wan-Wen, Jiao Ting "
Ouying De,Hong Kong,https://en.hkcinema.ru/foto/967446a5.jpg,1952,martial arts,Ku Wen-Chung ,"Law Yim-Hing, Lo Ban-Chiu, Lau Kwai-Hong, Hung Bo "
Decree of the Fire Dragon,Hong Kong,https://en.hkcinema.ru/foto/2ec63169.jpg,1968,martial arts,Wu Pang ,"Josephine Siao Fong-Fong, Yu So-Chau, Cheung Ying-Tsoi, Sek Kin, Ko Lo-Chuen, Cheung Sang, Tong Kai, Liu Chia-Liang, Lee Sau-Kei "
The Decree of Death,Hong Kong,https://en.hkcinema.ru/foto/nofoto.gif,1965,martial arts,Wu Pang ,"Chow Chung, Ha Wa, Josephine Siao Fong-Fong, Sek Kin, Yam Yin, Lau Hak-Suen, Lai Man, Sze-Ma Wah-Lung "
The Dragon Tamers,Hong Kong,https://en.hkcinema.ru/foto/8f4014ae.jpg,1975,martial arts,John Woo ,"James Tin Chuen, Carter Wong Ka-Tat, Yeung Wai, Kim Ki-Ju, Chin Chang-Shou, Ji Han-Jae, Chan Chuen, Hsu Hsia, Yuen Wah, Chik Ngai-Hung "
Uprooting the White Lotus Gang,Hong Kong,https://en.hkcinema.ru/foto/nofoto.gif,1949,martial arts,,"Kwong Shan-Siu, Leong Suet-Fei, Lau Hak-Suen, Ling Mung "
Lantern Street,Taiwan,https://en.hkcinema.ru/foto/ad810f95.jpg,1977,martial arts,Larry Tu Chong-Hsun ,"Jimmy Wang Yu, Chia Ling, Lo Dik, Chang Yu, Chen Hung-Lieh, Lee Man-Tai, Cliff Ching Ching, Yan Chung-Shing, Cho Kin, Gam Sai-Yuk, Hsieh Hsing "
Smiling Swordsman,Hong Kong,https://en.hkcinema.ru/foto/d59dfc14.jpg,1968,"martial arts, comedy",Chiang Nan ,"Melinda Chen Man-Ling, Tin Ching, Steve Chan Ho, Tam Yi-Lee, Liu En-Jia, Wong Sam, Ma Chien-Tang, Tiu Wai, Chiang Nan, Lee Wan-Chung "
The Unique Lama,Taiwan,https://en.hkcinema.ru/foto/fad706cd.jpg,1978,martial arts,Sun Yung ,"Mang Fei, Chia Ling, Chan Gong, Yueh Hua, Betty Pei Ti, Lung Suen, Wan Chung-Shan, Ng Tung-Kiu, Tsui Fu-Sheng, Tang Chia-Chuan, Chow Jun "
Unique Skill,China,https://en.hkcinema.ru/foto/59649bb8d3a94.jpg,1991,"drama, action, martial arts",Xu Shu-Tian ,"On A-Ping, Zhang Xu-Zheng, Chow Ping, Zhang Zhao-Bei, Shi Mei-Ming, Pan Jie, Han Lao-Liu, Wang Yi-Gong, Wong Hoi-Sang "
The Hurricane,Hong Kong,https://en.hkcinema.ru/foto/4670f3f5.jpg,1972,martial arts,Lo Wei ,"Nora Miao Ke-Hsiu, Patrick Tse Yin, Sek Kin, Fung Ngai, Lo Wei, Gam Chuen, Stanley Fung Sui-Fan, Tin Mat, Hung Lau, Chow Siu-Loi "
Hurricane,Taiwan,https://en.hkcinema.ru/foto/nofoto.gif,1973,martial arts,Chang Pei-Cheng ,"Charles Heung Wah-Keung, Wang Ping, Cindy Tang Hsin, Cho Kin, Sally Chen Sha-Li, Ko Hsiang-Ting, Shan Mao, Sun Yueh, Liu Chu "
Zhen Mo Si·Si Xiang Fu Mo,China,https://en.hkcinema.ru/foto/5c0b5cc2dcb76.jpg,2018,"martial arts, fantasy, action",Huo Sui-Qiang ,"Garfield Chung Cheng-Chun, Zhu Li-Lan, Tempo Zhang Ya-Qi, Du Kang, Wu Da-Ke, Xia Mo, Zhao Shuai, Zhang Ji-Jun, Li Jing, Yu Xin-Shuo "
Master So Dragon Subduing Palms,China,https://en.hkcinema.ru/foto/5c10bbfc6a7e0.jpg,2018,"comedy, martial arts, fantasy",Man Chuang-Chuang ,"Ding Dang, Chen Hai, Laraine Jennifer Ding Liu-Yan, Li You, Wang Wen-Ping, Wang Cheng, Sun Yun, Liu Xi-Yue, Jie Rui-Yan, Qi Xue-Huang "
Wu Xia,Hong Kong,https://en.hkcinema.ru/foto/e435608c.jpg,2011,"martial arts, drama",Peter Chan Hoh-San ,"Donnie Yen Ji-Dan, Kaneshiro Takeshi, Tang Wei, Jimmy Wang Yu, Ethan Juan Ching-Tien, Kara Hui Ying-Hung, Kevin Zheng Wei, Li Jia-Min "
Bruce Lee - The Star of All Stars,Taiwan,https://en.hkcinema.ru/foto/2aee993e.jpg,1976,martial arts,Lee Tso-Nam ,"Bruce Li Shao-Lung, Lung Fei, Chang Yu, Kam Kong, Ma Cheung, Shan Mao, Got Siu-Bo, Cheng Fu-Hung, An Ping, Chi Fu-Chiang, Liu Chik "
Tai Chi Zero,China,https://en.hkcinema.ru/foto/9e10c9b6.jpg,2012,"martial arts, fantasy",Stephen Fung Tak-Lun ,"AngelaBaby, Jayden Yuan Xiao-Chao, Tony Leung Ka-Fai, Eddie Peng Yu-Yen, Bruce Leung Siu-Lung, Ying Da, Mandy Lieu, Stephen Fung Tak-Lun "
Shaolin Disciple,Hong Kong,https://en.hkcinema.ru/foto/36428d01.jpg,1980,martial arts,Man Man ,"Kwan Hoi-San, Ku Feng, Lau Ga-Yung, Kwan Chung, Tony Leung Siu-Hung, Leung Sam, Chan Ming-Wai, Lee Man-Tai, Bruce Tong Yim-Chaan "
Disciples of the 36th Chamber,Hong Kong,https://en.hkcinema.ru/foto/4384d177.jpg,1985,"martial arts, comedy",Liu Chia-Liang ,"Gordon Liu Chia-Hui, Hsiao Ho, Jason Pai Piao, Lily Li Li-Li, Liu Chia-Liang, Sun Chien, Chan Shen, Wang Han-Chen, Wong Lik "
Disciples of Shaolin,Hong Kong,https://en.hkcinema.ru/foto/2f1ecd48.jpg,1975,martial arts,Chang Cheh ,"Alexander Fu Sheng, Chi Kuan-Chun, Wong King-Ping, Lo Dik, Fan Sau-Yee, Fung Hak-On, Hon Kong, Chiang Tao, Chen Ming-Li, Yuen Shun-Yi "
Disciples of Shaolin Temple,Hong Kong,https://en.hkcinema.ru/foto/f533cdf1.jpg,1985,martial arts,Hua Shan ,"Fan Dung-Yue, He Qing, Chiu Liu-Liu, Wang Chi, Sek Kong, Zhao Xiao-Rui, Han Hai-Hua, Li Xiao-Zhou, Jia Bao-De, Ou Ke, Chang Xue-Ren, Chan Hoi-Ming "
The Kung-Fu Instructor,Hong Kong,https://en.hkcinema.ru/foto/9dfeecea.jpg,1979,martial arts,Sun Chung ,"Ti Lung, Wong Yu, Ku Feng, Angie Chiu Nga-Chi, Johnny Wang Lung-Wei, Ngaai Fei, Chiang Tao, Shum Lo, Lun Ga-Chun, Tin Ching, Yuen Wah "
Wushu,Hong Kong,https://en.hkcinema.ru/foto/7e31a26d.jpg,2008,"action, martial arts, drama","Antony Szeto Wing-Wah, Dennis Chan Kwok-San, Guo Yu-Dan ","Liu Feng-Chao, Sammo Hung Kam-Bo, Wang Wen-Jie, Wang Fei-Fei, John Zhang Jin, Mao Jun-Jie, Wang Ya-Chao, Tie Nan, Dennis Chan Kwok-San "
The Fake Ghost Catchers,Hong Kong,https://en.hkcinema.ru/foto/719c4293.jpg,1982,"martial arts, comedy, horror",Lau Kar-Wing ,"Hsiao Ho, Cheung Chin-Pang, Alexander Fu Sheng, Wong Ching-Ho, Johnny Wang Lung-Wei, Lam Fai-Wong, Lily Li Li-Li, Lung Tien-Hsiang "
Fake Master,China,https://en.hkcinema.ru/foto/585c9b1755348.jpg,2016,"comedy, martial arts, fantasy",Men Xing-Chi ,"Chen Yi-Ming, Evan Zhu Zhen-Hao, Yin Hao-Ming, Wu Jing-Yi "
Twinkle Ninja Fantasy,Hong Kong,https://en.hkcinema.ru/foto/nofoto.gif,1987,"action, martial arts",,"Patrick FrBezar, Danny Raisebeck, Chiang Tao, Sun Chien, Sorapong Chatree "
The Fantastic Magic Baby,Hong Kong,https://en.hkcinema.ru/foto/80eb8a1c.jpg,1975,"martial arts, musical, fantasy",Chang Cheh ,"Ting Wa-Chung, Cheung Chuen-Lai, Lau Chung-Chun, Woo Gam, Chiang Tao, Tsai Hung, Fung Hak-On, Ku Kwan, Lee Ying, Teng Jue-Jen, Chen I-Ho "
The Fantastic Knight,Hong Kong,https://en.hkcinema.ru/foto/nofoto.gif,1940,martial arts,Yam Pang-Nin ,"Kwan Tak-Hing, Lam Lai-Ping, Chow Chi-Sing, Wong Sau-Nin, Ko Lo-Chuen, Lee Mang, Lee Siu-Man, Leung Yeuk-Ngoi, Tang Kwai-Fong "
Fatal Needles Vs. Fatal Fists,Taiwan,https://en.hkcinema.ru/foto/d3a4d30b.jpg,1978,martial arts,Lee Tso-Nam ,"Don Wong Tao, Lo Lieh, Chang Yu, Gam Ming, Cheng Fu-Hung, Lung Fong, Ricky Cheng Tien-Chi, Got Siu-Bo, Hsieh Han, Hwa Ling, Shih Ting-Ken "
Fatal Contact,Hong Kong,https://en.hkcinema.ru/foto/820ddc85.jpg,2006,"martial arts, drama",Dennis Law Sau-Yiu ,"Jacky Wu Jing, Miki Yeung Oi-Gan, Ronald Cheng Chung-Kei, Theresa Fu Wing, Eddie Cheung Siu-Fai, Johnny Lu Sze-Ming, Ken Lo Wai-Kwong "
Phoenix From Shaolin,Hong Kong,https://en.hkcinema.ru/foto/445f077d.jpg,2005,martial arts,Kant Leung Wang-Fat ,"Li Dong-Han, Dragon Sek Tin-Lung, Ivy Cheng Lai-Ling, Sze Hung-Bor "
A Swordsman in the Wind,China,https://en.hkcinema.ru/foto/5bc6e5a802d50.jpg,2018,"martial arts, romance",Xu Jun ,"Nuo Yao, Alex Fang Shuai, Jin Ning, Qian Yu-Xu, Zheng Xi-Yue, Liu Si-Si, Huang Yi-Fei, Jiang Tao, Xu Wei, An Ya-Long, Lin Yu-Xian "
The Swordswoman in White,China,https://en.hkcinema.ru/foto/c540e2ce.jpg,1992,martial arts,Zhang Hua-Xun ,"Jiang Geng-Chen, Lee Jun-Fung, Wang Mei-Ling, Jia Ping, Kau Chim-Man, Li Yong-Gui, Ma Zhong-Xuan, Zhao Wen-Min, Liu Chang-Sheng "
Swordswoman of Huangjiang (Part 1),China,https://en.hkcinema.ru/foto/nofoto.gif,1930,martial arts,"Chan Hang-Yin, Jeng Yat-Sang, Shang Guan-Wu ","Chui Kam-Fong, Jeng Yat-Sang, Shang Guan-Wu, Chu Shao-Yuen, Hoh Chi-Gong, Mama Hung "
Swordswoman of Huangjiang (Part 2),China,https://en.hkcinema.ru/foto/nofoto.gif,1930,martial arts,"Chan Hang-Yin, Jeng Yat-Sang, Shang Guan-Wu ","Chui Kam-Fong, Jeng Yat-Sang, Shang Guan-Wu, Chu Shao-Yuen, Fan Xue-Peng, Hoh Chi-Gong, Mama Hung "
"The Fairy, the Ghost and Ah Chung",Hong Kong,https://en.hkcinema.ru/foto/56250e393c620.jpg,1979,martial arts,Patrick Lung Kong ,"Little Unicorn, Meng Yuen-Man, Tiger Yang Cheng-Wu, Fung Hak-On, Kitty Meng Chui, Cecilia Wong Hang-Sau, Patrick Lung Kong, Yue Tau-Wan "
The Fairy Fox and Ghost,Taiwan,https://en.hkcinema.ru/foto/bfc5292f.jpg,1970,"martial arts, fantasy",Chin Sheng-En ,"Niu Fang-Yu, Wong Yung, Fai Wan, Kao Hsing-Chih, Lai Te-Nan, Tung Lam, Yen Chung, Chin Li-Sheng, Kao Chin, Chan Shuk-Ching, Chen Shu-Chen "
The Owl,Hong Kong,https://en.hkcinema.ru/foto/nofoto.gif,1974,martial arts,Chui Dai-Chuen ,"Michael Chan Wai-Man, Lee Tao-Hung, Manor Chan Man-Na, Fong Yuen, Pak Sha-Lik, Tong Lung, Cheng Kei-Ying, Lee Hon-Kei, Yam Ho "
The Owl and Dumbo,Hong Kong,https://en.hkcinema.ru/foto/ec547af9.jpg,1984,"martial arts, comedy, romance",Sammo Hung Kam-Bo ,"George Lam Chi-Cheung, Sammo Hung Kam-Bo, James Tin Chuen, Deannie Yip Tak-Han, Michelle Yeoh, Stanley Fung Sui-Fan, Wong Chi-Keung "
The Violet Mansion,Hong Kong,https://en.hkcinema.ru/foto/50c2f547.jpg,1969,martial arts,Tu Kuang-Chi ,"Melinda Chen Man-Ling, Gam Chuen, Charlie Chin Chiang-Lin, Connie Hong Lei, Chu Mu, Yam Ho, Doreen Chien Rong-Rong, Wang Lai, Wong Sam "
Banner of the Twin Phoenixes (Part 1),Hong Kong,https://en.hkcinema.ru/foto/nofoto.gif,1966,martial arts,Ling Yun ,"Connie Chan Po-Chu, Josephine Siao Fong-Fong, Sek Kin, Lee Hung, Yung Yuk-Yi, Yeung Yip-Wang, Mui Kwai-Lui, Ho King-Fan, Ko Lo-Chuen "
